Old URL,New URL,Redirect Type,Redirect Status,Notes
/general-assembly,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=1753298904,Single Redirect,Active,
/search-results,/search,Single Redirect,Active,
/members-directory,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1460794618#gid=1460794618,Single Redirect,Active,
/physical-transactions,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=995916231#gid=995916231,Single Redirect,Active,
/contribute-effort,https://app.dework.xyz/truesight-dao-31019?taskId=b3b9fadc-e56d-43c9-baeb-099772da561a,Single Redirect,Active,
/submissions/raw-whatsapp-chat-logs,https://drive.google.com/drive/u/0/folders/1X8fGb-kzf5WIjrsd1uO8seXnHZZkiitk,Single Redirect,Active,
/offchain-balance,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=995916231,Single Redirect,Active,
/tokenholder-wallets,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1460794618#gid=1460794618,Single Redirect,Active,
/proposals,https://app.realms.today/dao/2yH36PrWii3RthpHtdJVYaPgBzfcSLe7oevvGRavrut7,Single Redirect,Active,
/physical-assets/serialized/sold,https://docs.google.com/spreadsheets/d/1qbZZhf-_7xzmDTriaJVWj6OZshyQsFkdsAV8-pyzASQ/edit?gid=1003674539#gid=1003674539,Single Redirect,Active,
/physical-asset-movements,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1888711771#gid=1888711771,Single Redirect,Active,
/physical-asset-locations,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1487841772#gid=1487841772,Single Redirect,Active,
/governors,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=842148543#gid=842148543,Single Redirect,Active,
/quests,https://trello.com/b/8VG6IfzF/truesight-dao,Single Redirect,Active,
/ledger,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit#gid=0,Single Redirect,Active,
/offchain-asset-location,https://docs.google.com/spreadsheets/d/1GE7PUq-UT6x2rBN-Q2ksogbWpgyuh2SaxJyG_uEK6PU/edit?gid=1487841772#gid=1487841772,Single Redirect,Active,
